campaign_id,name,start_date,end_date,target_segment,budget,channel
EC035,Green Usage Week,2023-05-03,2023-06-13,Residential,45238,Events
EC036,Green Usage Campaign,2023-05-27,2023-06-18,Commercial,32540,"Events, Newspaper"
EC037,Save Energy Campaign,2024-05-14,2024-06-09,Commercial,14352,"Newspaper, TV"
EC038,Save Energy Drive,2024-01-29,2024-03-14,Industrial,47490,"TV, Email, Newspaper"
EC039,Save Usage Campaign,2023-09-01,2023-10-02,Industrial,37564,"Events, Email, TV"
EC040,Save Power Week,2024-11-17,2024-12-05,Commercial,13811,"TV, Email, Social Media"
EC041,Efficient Power Campaign,2023-04-10,2023-06-09,Industrial,24090,Social Media
EC042,Save Energy Drive,2025-04-02,2025-04-16,Commercial,40793,"Events, Social Media"
EC043,Green Usage Week,2024-01-28,2024-02-29,Residential,42938,"Email, TV, Events"
EC044,Save Energy Drive,2023-06-02,2023-07-14,Industrial,11348,Social Media
EC045,Green Energy Campaign,2023-09-25,2023-11-02,Industrial,47817,"Newspaper, Email, Social Media"
EC046,Green Power Campaign,2025-01-01,2025-02-28,Industrial,36768,"TV, Email, Events"
EC047,Save Power Campaign,2024-07-25,2024-09-11,Residential,30102,"Social Media, TV"
EC048,Green Energy Week,2023-10-02,2023-10-25,Commercial,30400,"Social Media, Events, TV"
EC049,Efficient Usage Campaign,2023-05-27,2023-07-08,Industrial,20041,"Email, Newspaper, TV"
EC050,Efficient Energy Campaign,2024-04-03,2024-04-14,Industrial,38816,Email
EC051,Green Usage Campaign,2023-07-26,2023-09-10,Residential,45597,Events
EC052,Efficient Energy Week,2025-02-07,2025-03-10,Commercial,12021,"Email, TV, Social Media"
EC053,Efficient Usage Campaign,2023-05-14,2023-07-12,Residential,16820,"Email, Newspaper, TV"
EC054,Efficient Energy Week,2023-04-29,2023-05-13,Residential,20087,"TV, Social Media, Newspaper"
EC055,Efficient Usage Campaign,2023-06-08,2023-06-26,Commercial,29456,TV
EC056,Save Power Drive,2024-05-18,2024-06-11,Commercial,32305,"Events, Social Media, Newspaper"
EC057,Efficient Power Campaign,2024-01-09,2024-02-08,Commercial,27371,TV
EC058,Efficient Usage Drive,2024-05-06,2024-06-13,Residential,44409,Events
EC059,Efficient Usage Campaign,2023-06-26,2023-08-24,Residential,49735,Events
EC060,Efficient Energy Week,2024-06-26,2024-07-14,Industrial,44944,Events
EC061,Save Usage Week,2024-09-29,2024-11-06,Residential,17041,"Events, TV"
EC062,Green Power Campaign,2024-04-19,2024-06-11,Residential,7784,Social Media
EC063,Save Usage Campaign,2024-11-06,2024-12-07,Residential,21403,Social Media
EC064,Efficient Power Week,2023-10-07,2023-10-14,Commercial,28361,"TV, Email, Newspaper"
EC065,Green Power Week,2023-12-27,2024-02-14,Commercial,20430,"TV, Email"
EC066,Save Energy Drive,2025-01-07,2025-02-22,Commercial,12702,"Newspaper, Email"
EC067,Green Usage Campaign,2024-04-07,2024-05-14,Industrial,10322,Newspaper
EC068,Save Usage Drive,2024-04-17,2024-05-24,Residential,25294,"Social Media, TV, Email"
EC069,Efficient Usage Week,2023-10-09,2023-12-02,Commercial,33928,TV
EC070,Green Energy Campaign,2024-08-25,2024-10-19,Industrial,33477,"Events, Newspaper, Email"
EC071,Green Power Week,2024-05-03,2024-06-01,Residential,33989,TV
EC072,Save Energy Campaign,2023-07-29,2023-09-04,Commercial,37002,"TV, Newspaper, Social Media"
EC073,Save Usage Drive,2023-12-25,2024-01-16,Industrial,13977,"Events, Social Media, TV"
EC074,Save Usage Week,2024-11-30,2025-01-19,Residential,29321,"Email, Social Media, TV"
EC075,Save Energy Drive,2023-06-18,2023-07-09,Residential,42094,"Email, Events"
EC076,Green Energy Campaign,2024-01-15,2024-02-11,Residential,13291,"Newspaper, Email"
EC077,Save Usage Week,2024-08-14,2024-09-09,Industrial,5441,"Email, Social Media, TV"
EC078,Green Power Week,2023-11-18,2023-12-17,Commercial,30527,TV
EC079,Save Usage Drive,2023-07-21,2023-08-20,Residential,11757,"Events, TV, Social Media"
EC080,Green Usage Drive,2023-06-07,2023-08-02,Commercial,17019,"Events, Email"
EC081,Green Energy Week,2024-09-18,2024-10-23,Industrial,26421,Email
EC082,Green Energy Week,2024-03-21,2024-05-18,Industrial,42843,"Events, Social Media, TV"
EC083,Green Power Drive,2023-08-30,2023-10-29,Industrial,45334,"Newspaper, Events"
EC084,Save Energy Drive,2024-09-11,2024-10-12,Residential,36662,"Newspaper, TV"
EC085,Efficient Energy Drive,2023-12-14,2024-01-25,Industrial,18837,"Social Media, Events"
EC086,Efficient Energy Drive,2023-07-16,2023-08-13,Industrial,11793,"Newspaper, TV"
EC087,Green Power Week,2024-11-21,2024-12-31,Industrial,30980,Events
EC088,Efficient Power Drive,2023-05-15,2023-06-02,Commercial,26174,"TV, Newspaper, Social Media"
EC089,Save Usage Campaign,2023-11-25,2023-12-05,Commercial,44979,"Events, Newspaper"
EC090,Efficient Energy Drive,2024-07-07,2024-08-02,Commercial,11013,"Social Media, TV, Events"
EC091,Green Power Week,2023-08-14,2023-09-16,Residential,17207,"Social Media, Events, TV"
EC092,Efficient Energy Week,2023-09-15,2023-10-02,Industrial,43734,"Social Media, TV, Events"
EC093,Green Usage Campaign,2024-11-11,2024-12-23,Residential,27153,"Email, Social Media, Events"
EC094,Save Usage Campaign,2024-05-28,2024-06-08,Residential,15120,"TV, Email"
EC095,Save Energy Drive,2024-08-31,2024-09-12,Residential,7062,"TV, Newspaper"
EC096,Green Energy Week,2023-11-23,2023-12-28,Commercial,30858,"Events, Social Media"
EC097,Save Energy Week,2023-08-31,2023-09-07,Commercial,33707,"Newspaper, TV"
EC098,Green Usage Week,2023-06-16,2023-07-27,Residential,25849,"Events, Social Media"
EC099,Save Energy Week,2023-08-11,2023-08-29,Industrial,35739,TV
EC100,Save Power Week,2024-06-29,2024-08-12,Commercial,35988,"Newspaper, TV, Email"
