campaign_id,campaign_name,start_date,end_date,marketing_channel,target_cartype,target_audience,discount_percent,expected_sales,actual_sales
CAMP026,SUV Fest,2024-08-19,2025-01-08,Billboards,SUV,First-Time Buyers,18.95,262,208
CAMP027,Summer Sale,2023-06-16,2024-11-04,Newspaper,Coupe,City Commuters,6.02,86,175
CAMP028,Festive Offer,2024-12-14,2025-02-18,TV,Convertible,Luxury Car Owners,7.53,168,292
CAMP029,Luxury Car Bonanza,2023-06-30,2025-03-23,TV,Sedan,City Commuters,21.42,341,340
CAMP030,Year-End Clearance,2024-10-26,2024-12-20,Newspaper,MPV,City Commuters,15.38,104,346
CAMP031,Electric Revolution Discount,2024-02-10,2024-07-13,Billboards,Hatchback,SUV Enthusiasts,27.07,135,112
CAMP032,Luxury Car Bonanza,2024-04-06,2024-08-07,Newspaper,Coupe,Budget Buyers,18.35,357,246
CAMP033,Electric Revolution Discount,2024-12-14,2025-03-14,SMS,Convertible,First-Time Buyers,26.12,261,344
CAMP034,Luxury Car Bonanza,2023-06-19,2025-03-08,Billboards,Coupe,City Commuters,11.02,329,129
CAMP035,Luxury Car Bonanza,2024-07-10,2025-02-16,Newspaper,MPV,First-Time Buyers,14.0,281,249
CAMP036,Luxury Car Bonanza,2024-09-01,2024-12-03,Social Media,MPV,Luxury Car Owners,29.57,355,28
CAMP037,Year-End Clearance,2024-09-20,2025-03-27,SMS,SUV,First-Time Buyers,29.61,159,181
CAMP038,Summer Sale,2023-10-17,2024-12-21,Billboards,Coupe,City Commuters,17.78,342,312
CAMP039,Year-End Clearance,2024-04-30,2024-10-10,Social Media,SUV,SUV Enthusiasts,13.89,120,155
CAMP040,Electric Revolution Discount,2024-02-15,2024-12-12,Newspaper,Sedan,Budget Buyers,11.41,203,67
CAMP041,Luxury Car Bonanza,2023-10-16,2025-01-13,Newspaper,Sedan,Luxury Car Owners,23.09,455,267
CAMP042,Year-End Clearance,2024-11-30,2024-12-10,Email,MPV,City Commuters,25.49,98,324
CAMP043,Mega Exchange Offer,2025-01-06,2025-01-27,Social Media,MPV,City Commuters,14.54,449,48
CAMP044,Electric Revolution Discount,2024-03-07,2024-11-01,SMS,Hatchback,SUV Enthusiasts,28.26,111,136
CAMP045,Summer Sale,2024-01-05,2024-01-18,Billboards,MPV,SUV Enthusiasts,6.35,318,41
CAMP046,Electric Revolution Discount,2024-12-15,2025-01-03,Newspaper,Convertible,Budget Buyers,13.17,407,133
CAMP047,Year-End Clearance,2023-09-05,2024-12-07,Social Media,MPV,SUV Enthusiasts,29.28,435,324
CAMP048,Festive Offer,2023-12-07,2025-02-04,TV,Hatchback,First-Time Buyers,24.66,125,87
CAMP049,Electric Revolution Discount,2024-08-27,2024-10-26,Social Media,Hatchback,City Commuters,23.63,330,224
CAMP050,Mega Exchange Offer,2023-04-10,2025-02-24,Social Media,Hatchback,City Commuters,15.86,407,86
